date,pair,signal,z_score,beta,S,R,delta,quality,days_held,phase,symbol_x,symbol_y,initial_beta,pvalue_1y,pvalue_5y
2024-08-22,I-SM,hold,0.9555438465089118,4.0,12048925.748542434,11711089.127647297,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-23,I-SM,hold,0.9543087084670101,4.0,11890962.815399671,11560710.97116787,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-26,I-SM,hold,0.953059901755494,4.0,11754195.872390512,11411575.347931063,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-27,I-SM,hold,0.9568538427052945,4.0,11606573.415662894,11268838.5502027,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-28,I-SM,hold,0.9845977121719584,4.0,11459632.845514752,11159284.694114361,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-29,I-SM,hold,0.9867109075934527,4.0,11350474.79895981,11053318.630524375,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-08-30,I-SM,hold,0.9967228607821446,4.0,11239246.894214535,10959570.337446256,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-02,I-SM,hold,1.0044375749930576,4.0,11128631.96009012,10874604.705767976,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-03,I-SM,hold,1.0260468820314443,4.0,11032720.164318593,10814490.420791797,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-04,I-SM,hold,1.0265567942362421,4.0,10965001.142685235,10754932.366162827,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-05,I-SM,hold,1.0340903881393892,4.0,10899439.852609958,10704053.610976037,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-06,I-SM,hold,1.0318666317982164,4.0,10849697.415447513,10650972.681813534,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-09,I-SM,hold,1.0145512379471582,4.0,10795830.950808723,10578641.735866066,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-10,I-SM,hold,1.0116516517533305,4.0,10718114.792121068,10503359.437890153,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-11,I-SM,hold,1.0071329696505904,4.0,10649612.79501318,10424064.021441048,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-12,I-SM,hold,0.9965033533109545,4.0,10574349.404285073,10334147.167534089,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-13,I-SM,hold,0.9856887529062205,4.0,10477607.488788268,10233271.103995014,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-18,I-SM,hold,0.9996289280395206,4.0,10367658.183026638,10147633.068876414,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-19,I-SM,hold,1.0362938764479472,4.0,10288157.717747318,10102248.78859292,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-20,I-SM,hold,1.0343413381393323,4.0,10236459.303785557,10054645.403259745,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-23,I-SM,hold,1.0413272746555213,4.0,10179519.001732519,10014319.397749025,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-24,I-SM,hold,1.025653234540178,4.0,10153987.10188789,9958223.595869262,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-25,I-SM,hold,1.0460856287259153,4.0,10100394.124382515,9924423.603792485,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-26,I-SM,hold,1.028413296005867,4.0,10072734.130213808,9872274.710539091,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-27,I-SM,hold,1.0423811593778858,4.0,10028089.644401927,9835639.62654362,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-09-30,I-SM,hold,1.0655103760725302,4.0,10020692.714525133,9825708.68074958,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-08,I-SM,hold,1.0170271933373536,4.0,9991821.801957522,9763250.346314304,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-09,I-SM,hold,1.0393925760310092,4.0,9925005.78379689,9724295.188285446,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-10,I-SM,hold,1.0415297662403478,4.0,9883114.545051401,9687610.875956971,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-11,I-SM,hold,1.0308163896809541,4.0,9850241.688134866,9640155.604217531,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-14,I-SM,hold,1.0121956514213308,4.0,9805421.791330202,9574094.67529198,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-15,I-SM,hold,1.0295013571477623,4.0,9733792.470660675,9525794.791990397,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-16,I-SM,hold,1.0158212257917405,4.0,9680220.892426008,9463683.548396874,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-17,I-SM,hold,1.0138798429089908,4.0,9602684.568375403,9399288.739153672,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-18,I-SM,hold,1.012483474134208,4.0,9542314.867294632,9334215.678994128,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-21,I-SM,hold,0.9929821995261422,4.0,9479080.15829734,9250834.361267755,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-22,I-SM,hold,1.0040021949305096,4.0,9391210.757040855,9178577.436361669,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-23,I-SM,hold,1.0303773160910934,4.0,9311886.92332064,9132060.011388464,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-24,I-SM,hold,1.021953636336321,4.0,9267336.779378602,9077750.455865199,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-25,I-SM,hold,1.0658330901164652,4.0,9216855.849661294,9067073.271743752,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-28,I-SM,hold,1.0812481804195986,4.0,9209668.74277664,9072165.971253898,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-29,I-SM,hold,1.0710085376760554,4.0,9211089.478786793,9066684.965574283,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-30,I-SM,hold,1.0672381178841586,4.0,9207069.625043724,9057512.020443846,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-10-31,I-SM,hold,1.085612645722784,4.0,9195110.175778246,9066745.309923666,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-01,I-SM,hold,1.0824238935568533,4.0,9199202.936204253,9072427.148727588,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-04,I-SM,hold,1.0971300670564001,4.0,9206457.865157971,9093251.362892317,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-05,I-SM,hold,1.0767803040033432,4.0,9230033.317916773,9093448.890884995,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-06,I-SM,hold,1.0769630164548258,4.0,9225677.67662042,9093562.161251012,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-07,I-SM,hold,1.0908110062990028,4.0,9230480.987456392,9108084.48978585,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
