交易序号,配对,品种X,品种Y,方向,开仓日期,开仓Z值,开仓Beta,开仓价格X,开仓价格Y,平仓日期,平仓Z值,平仓价格X,平仓价格Y,平仓原因,手数X,手数Y,乘数X,乘数Y,持仓天数,毛盈亏,手续费,净盈亏,收益率,保证金
83,PB-AL,PB,AL,short,2025-06-18,2.4402,1.017795,16813.96,20459.01,2025-06-24,0.3251,16957.87,20254.21,signal,5,4,5,5,6,-9043.60,331.71,-9375.31,-9.42%,99543.50
84,SS-AG,SS,AG,short,2025-06-06,2.0266,0.946922,12701.77,8869.97,2025-07-09,N/A,12717.35,8905.39,time_stop,10,5,5,15,33,-86.85,624.99,-711.84,-0.38%,187248.39
85,PB-NI,PB,NI,long,2025-06-10,-2.0344,1.205028,16876.74,121536.75,2025-07-10,N/A,17237.82,121213.06,time_stop,7,4,5,1,30,12642.38,433.00,12209.38,9.45%,129219.95
86,PB-SS,PB,SS,long,2025-06-10,-2.7613,0.973197,16876.74,12457.58,2025-07-10,N/A,17237.82,12819.38,time_stop,5,7,5,5,30,-5436.19,347.51,-5783.71,-5.62%,102952.05
87,RB-SM,RB,SM,long,2025-07-22,-2.0804,1.078693,3313.76,6032.24,2025-07-25,0.4539,3359.68,6435.85,stop_loss,24,24,10,5,3,-40294.44,619.56,-40914.00,-22.44%,182300.56
88,HC-SM,HC,SM,long,2025-07-22,-2.0082,1.073397,3479.53,6032.24,2025-07-25,0.2478,3509.28,6435.85,stop_loss,18,20,10,5,3,-37285.82,500.96,-37786.78,-25.61%,147544.60
89,SM-I,SM,I,short,2025-07-04,2.3344,0.758889,5660.61,724.74,2025-07-25,0.2319,6435.85,790.70,signal,19,10,5,100,21,-11834.18,532.92,-12367.10,-8.16%,151500.23
90,PB-I,PB,I,short,2025-07-22,2.2102,0.677588,16920.99,812.46,2025-07-28,N/A,16912.76,774.04,stop_loss,4,6,5,100,6,-37927.41,488.57,-38415.98,-25.84%,148660.80
91,ZN-SM,ZN,SM,short,2025-07-25,5.5620,0.864922,22868.32,6435.85,2025-07-28,N/A,22636.91,6055.23,stop_loss,5,20,5,5,3,-41072.97,572.82,-41645.79,-23.80%,175002.25
92,SS-SM,SS,SM,short,2025-07-25,2.0028,0.918961,13049.74,6435.85,2025-07-28,0.3708,12871.87,6055.23,stop_loss,8,18,5,5,3,-29421.31,432.21,-29853.52,-22.59%,132145.99
93,AL-SM,AL,SM,short,2025-07-25,2.5735,0.874395,20731.85,6435.85,2025-07-28,N/A,20591.42,6055.23,stop_loss,4,14,5,5,3,-37912.87,510.25,-38423.13,-24.67%,155726.43
94,HC-I,HC,I,short,2025-07-09,2.0142,0.814817,3192.65,728.20,2025-07-29,0.4064,3504.01,785.49,signal,13,7,10,100,20,-3252.66,386.03,-3638.69,-3.28%,110974.16
95,RB-I,RB,I,short,2025-07-10,3.6895,0.819087,3124.65,754.57,2025-07-29,0.4238,3351.54,785.49,signal,22,11,10,100,19,-20514.56,623.76,-21138.32,-11.61%,182093.31
96,SM-SF,SM,SF,short,2025-07-23,2.1167,0.995052,5956.21,5876.72,2025-07-31,0.2163,5979.72,5766.33,signal,25,25,5,5,8,-19736.50,589.47,-20325.97,-11.45%,177493.88
97,SS-RB,SS,RB,short,2025-07-22,2.0347,0.851355,12944.29,3313.76,2025-08-04,0.4247,12964.87,3223.51,signal,9,21,5,10,13,-22488.13,507.75,-22995.88,-14.99%,153405.99
98,ZN-I,ZN,I,short,2025-07-10,2.4913,0.656997,22347.74,754.57,2025-08-19,N/A,22209.36,774.47,time_stop,4,9,5,100,40,17383.94,453.46,16930.48,12.53%,135127.61
99,SS-I,SS,I,short,2025-07-10,2.8632,0.695490,12819.38,754.57,2025-08-19,N/A,12915.27,774.47,time_stop,5,6,5,100,40,6996.80,312.16,6684.64,7.20%,92786.82
100,PB-AL,PB,AL,short,2025-07-18,2.2355,1.018037,16835.51,20486.95,2025-08-19,N/A,16831.95,20537.17,time_stop,5,4,5,5,32,-256.38,332.43,-588.81,-0.59%,99675.22
101,PB-SM,PB,SM,short,2025-07-22,2.0087,0.888982,16920.99,6032.24,2025-08-19,0.3362,16831.95,5887.22,signal,8,24,5,5,28,-16479.84,556.09,-17035.93,-10.14%,168084.93
