交易ID,配对,品种X,品种Y,入场日期,出场日期,持仓天数,入场动作,退出动作,Beta,入场Z_Score,出场Z_Score,入场价格X,入场价格Y,出场价格X,出场价格Y,手数X,手数Y,乘数X,乘数Y,保证金,原始盈亏,原始收益率%,触发止损,止损后盈亏,止损后收益率%,入场价差,出场价差
64,RB0-SF0,RB0,SF0,2025-01-06,2025-01-21,11,open_short,close_normal,1.898738361423576,2.36064739289166,0.2309870806129526,3255.0,6306.0,3351.0,6468.0,1,2,10,5,11473.2,-698.76,-6.090367116410417,False,-698.76,-6.090367116410417,137.3028486505318,10.764241722271436
65,RB0-SF0,RB0,SF0,2025-05-29,2025-06-17,12,open_long,close_normal,1.8249301215643003,-2.5726708188363303,0.2722993416333851,2975.0,5232.0,2984.0,5258.0,3,5,10,5,26406.0,291.796,1.1050367340755889,False,291.796,1.1050367340755889,-208.6419020184867,-34.83010684896726
66,RB0-SF0,RB0,SF0,2025-07-25,2025-07-31,4,open_short,close_normal,1.770735143816072,3.0535926690246216,0.2249328516467088,3359.0,6160.0,3202.0,5702.0,3,5,10,5,30572.4,6641.324,21.723266737318625,False,6641.324,21.723266737318625,223.41285735326247,-12.226671162079583
67,RB0-SF0,RB0,SF0,2025-08-07,2025-08-19,8,open_short,close_normal,1.790556580975246,2.626409723218624,0.0136978210751777,3234.0,6018.0,3123.0,5684.0,3,5,10,5,29696.4,4923.348,16.578938861276114,False,4923.348,16.578938861276114,238.71168686898,-8.296470305198454
68,RB0-SM0,RB0,SM0,2024-12-10,2025-01-10,22,open_long,close_normal,1.5174297906681462,-2.324354376702885,0.1940247404219732,3399.0,6310.0,3205.0,6280.0,2,3,10,5,19515.6,3365.814,17.246787185636105,False,3365.814,17.246787185636105,1141.7038521469667,1280.2613153157854
69,RB0-SM0,RB0,SM0,2025-02-06,2025-03-20,30,open_short,close_timeout,1.60557497792102,3.4951875861728343,-1.3938992458624886,3360.0,7286.0,3173.0,6112.0,3,5,10,5,33954.0,23633.812,69.60538375449138,False,23633.812,69.60538375449138,1902.084799119136,771.9192392082323
70,RB0-SS0,RB0,SS0,2024-10-31,2024-12-12,5,open_long,close_timeout,1.9111908344376607,-2.258225557616077,-1.6772948638260574,3424.0,13525.0,3431.0,13155.0,1,2,10,5,20338.8,-3837.07,-18.865763958542296,True,-3050.82,-15.0,6960.349010382134,6527.029665708839
71,RB0-SS0,RB0,SS0,2025-03-10,2025-04-22,30,open_short,close_timeout,1.9995715806904644,2.926344292447767,-1.3022213414367043,3223.0,13475.0,3072.0,12705.0,1,2,10,5,20037.6,6125.05,30.56778256877072,False,6125.05,30.56778256877072,7051.379510176705,6422.3678199140295
72,RB0-SS0,RB0,SS0,2025-07-11,2025-08-11,21,open_long,close_normal,2.112412244761425,-2.2525503423858617,-0.0381689369744918,3130.0,12725.0,3253.0,13210.0,1,2,10,5,19026.0,3555.364,18.68687059812888,False,3555.364,18.68687059812888,6091.812437162456,6250.027104448261
73,SF0-SM0,SF0,SM0,2024-07-29,2024-09-02,25,open_long,close_normal,1.0629438539391285,-2.4518919255827667,-0.2315871427404167,6796.0,6958.0,6238.0,6282.0,1,1,5,5,8252.4,-616.274,-7.467815423391984,False,-616.274,-7.467815423391984,-278.14409449395043,-138.41411987928132
74,SF0-SM0,SF0,SM0,2024-11-06,2024-12-18,30,open_short,close_timeout,0.9885963214506864,2.3940022270430825,0.7165536707305414,6360.0,6370.0,6242.0,6240.0,1,1,5,5,7638.0,34.788,0.4554595443833463,False,34.788,0.4554595443833463,94.45897350233828,17.5441373741196
75,SF0-SM0,SF0,SM0,2025-01-15,2025-02-11,13,open_short,close_normal,0.9888417148130484,3.3055031854209003,0.0604791145148137,6502.0,6708.0,6330.0,6670.0,1,1,5,5,7926.0,-696.21,-8.783875851627556,False,-696.21,-8.783875851627556,290.48422057443804,91.7242585195263
76,SF0-SM0,SF0,SM0,2025-05-22,2025-05-26,2,open_short,close_normal,1.0330531679438535,2.717133006609351,-0.2109455784598198,5628.0,5992.0,5500.0,5674.0,1,1,5,5,6972.0,927.206,13.298995983935743,False,927.206,13.298995983935743,190.1750898196542,-20.11562253892953
77,SF0-SM0,SF0,SM0,2025-06-06,2025-06-11,3,open_short,close_normal,1.0479328086267152,2.2102374513897094,0.2847025331226581,5110.0,5532.0,5178.0,5492.0,1,1,5,5,6385.2,518.688,8.123285096786319,False,518.688,8.123285096786319,189.35094476924587,29.87565052672562
78,SF0-SM0,SF0,SM0,2025-07-22,2025-08-15,18,open_long,close_normal,1.049221918029471,-2.739201026638754,0.1405596843797911,5868.0,6018.0,5938.0,6108.0,1,1,5,5,7131.599999999999,76.068,1.0666330136294802,False,76.068,1.0666330136294802,-151.12954650511347,14.045121557959646
79,SF0-SS0,SF0,SS0,2024-08-02,2024-08-09,5,open_long,close_normal,1.7488842565541276,-2.277987051676876,0.099518398083859,6916.0,14130.0,6546.0,13805.0,3,5,5,5,54838.8,-2755.061,-5.023926490003428,False,-2755.061,-5.023926490003428,2009.2231761323287,2311.488820966641
80,SF0-SS0,SF0,SS0,2024-09-27,2024-11-15,30,open_long,close_timeout,1.8419189135154528,-2.8997179699958555,-1.350649162725654,6424.0,13490.0,6268.0,13250.0,1,2,5,5,20042.4,-1686.172,-8.413024388296812,False,-1686.172,-8.413024388296812,1631.4613860956397,1313.993821968399
81,SF0-SS0,SF0,SS0,2024-12-02,2025-01-14,30,open_long,close_timeout,1.9271038732673351,-2.239779139404787,-1.3592815952718178,6432.0,12985.0,6414.0,13170.0,1,2,5,5,19441.2,1874.844,9.643663971359793,False,1874.844,9.643663971359793,563.3052639048965,518.327121263892
82,SF0-SS0,SF0,SS0,2025-03-10,2025-04-07,19,open_short,close_normal,2.0439886295480467,2.7148149127997194,-0.2715015451749836,6028.0,13475.0,5802.0,12925.0,1,2,5,5,19786.8,4305.37,21.75879879515637,False,4305.37,21.75879879515637,1181.1004728616626,682.384553139711
83,SF0-SS0,SF0,SS0,2025-06-03,2025-07-15,30,open_short,close_timeout,2.200564008145194,2.514909295914698,-1.9569054152206624,5086.0,12640.0,5488.0,12690.0,3,7,5,5,62242.8,4070.968,6.540464117938138,False,4070.968,6.540464117938138,1476.1348386224165,205.771859182094
84,SF0-SS0,SF0,SS0,2025-07-21,2025-08-20,22,open_long,close_normal,2.2732615801674974,-2.248746195352393,-0.2315427803365407,5662.0,12920.0,5628.0,12805.0,3,7,5,5,64455.6,-3728.945,-5.785292511434228,False,-3728.945,-5.785292511434228,20.15336361062509,208.10878245606727
85,SM0-SS0,SM0,SS0,2024-07-30,2024-09-10,30,open_short,close_timeout,2.0130443147836674,2.244001334907804,0.960920916414726,6778.0,13890.0,6034.0,13250.0,1,2,5,5,20734.8,2612.908,12.601558732179718,False,2612.908,12.601558732179718,272.6639002850043,895.5492164818534
86,SM0-SS0,SM0,SS0,2024-10-31,2024-12-12,5,open_long,close_timeout,2.091440088126701,-2.635598215248808,-0.8949720426117229,6392.0,13525.0,6334.0,13155.0,1,2,5,5,20065.2,-3476.086,-17.323953910252573,True,-3009.78,-15.0,128.96631616536615,-40.74644422910569
87,SM0-SS0,SM0,SS0,2025-01-15,2025-02-18,18,open_long,close_normal,2.091019815895904,-3.208436757312404,0.2467102330765655,6708.0,13180.0,6482.0,13050.0,1,2,5,5,19840.8,-235.65,-1.1877041248336762,False,-235.65,-1.1877041248336762,-874.107043925098,-108.83771964983498
88,SM0-SS0,SM0,SS0,2025-05-22,2025-05-23,1,open_long,close_normal,2.1623618420937336,-2.5743880376112376,0.2811896665029355,5992.0,12895.0,5724.0,12860.0,1,2,5,5,19069.2,926.774,4.860057055356281,False,926.774,4.860057055356281,-89.84632887821499,494.14944040479713
