交易ID,配对,品种X,品种Y,入场日期,原始出场日期,原始持仓天数,触发止损,实际出场日期,实际持仓天数,信号类型,退出原因,Beta系数,入场Z_Score,出场Z_Score,入场价格_X,入场价格_Y,出场价格_X,出场价格_Y,手数_X,手数_Y,合约乘数_X,合约乘数_Y,保证金,保证金率%,原始毛盈亏,原始手续费,原始净盈亏,原始收益率%,止损后净盈亏,止损后收益率%,止损保护金额,入场价差,出场价差,价差变动,入场月份,出场月份
61,HC0-SS0,HC0,SS0,2025-03-10,2025-03-25,15,False,2025-03-25,15,open_short,close_normal,1.9740,2.5613,0.2785,3352.0000,13475.0000,3383.0000,13370.0000,1,2,10,5,20192.4000,12.0000,1360.0000,67.1600,1292.8400,6.4026,1292.8400,6.4026,0.0000,6878.9752,6619.2149,-259.7603,2025-03,2025-03
62,HC0-SS0,HC0,SS0,2025-06-23,2025-08-04,42,False,2025-08-04,42,open_long,close_timeout,2.0717,-2.2399,-1.4453,3109.0000,12405.0000,3420.0000,12910.0000,1,2,10,5,18616.8000,12.0000,1940.0000,63.6880,1876.3120,10.0786,1876.3120,10.0786,0.0000,5942.9079,5681.9028,-261.0052,2025-06,2025-08
63,RB0-SF0,RB0,SF0,2024-08-06,2024-08-08,2,False,2024-08-08,2,open_short,close_normal,1.9479,2.5935,-0.0484,3309.0000,7014.0000,3251.0000,6512.0000,1,2,10,5,12387.6000,12.0000,4440.0000,40.1720,4399.8280,35.5180,4399.8280,35.5180,0.0000,580.2938,150.3732,-429.9206,2024-08,2024-08
64,RB0-SF0,RB0,SF0,2025-01-06,2025-01-21,15,False,2025-01-21,15,open_short,close_normal,1.8987,2.3606,0.2310,3255.0000,6306.0000,3351.0000,6468.0000,1,2,10,5,11473.2000,12.0000,-660.0000,38.7600,-698.7600,-6.0904,-698.7600,-6.0904,0.0000,137.3028,10.7642,-126.5386,2025-01,2025-01
65,RB0-SF0,RB0,SF0,2025-05-29,2025-06-17,19,False,2025-06-17,19,open_long,close_normal,1.8249,-2.5727,0.2723,2975.0000,5232.0000,2984.0000,5258.0000,3,5,10,5,26406.0000,12.0000,380.0000,88.2040,291.7960,1.1050,291.7960,1.1050,0.0000,-208.6419,-34.8301,173.8118,2025-05,2025-06
66,RB0-SF0,RB0,SF0,2025-07-25,2025-07-31,6,False,2025-07-31,6,open_short,close_normal,1.7707,3.0536,0.2249,3359.0000,6160.0000,3202.0000,5702.0000,3,5,10,5,30572.4000,12.0000,6740.0000,98.6760,6641.3240,21.7233,6641.3240,21.7233,0.0000,223.4129,-12.2267,-235.6395,2025-07,2025-07
67,RB0-SF0,RB0,SF0,2025-08-07,2025-08-19,12,False,2025-08-19,12,open_short,close_normal,1.7906,2.6264,0.0137,3234.0000,6018.0000,3123.0000,5684.0000,3,5,10,5,29696.4000,12.0000,5020.0000,96.6520,4923.3480,16.5789,4923.3480,16.5789,0.0000,238.7117,-8.2965,-247.0082,2025-08,2025-08
68,RB0-SM0,RB0,SM0,2024-12-10,2025-01-10,31,False,2025-01-10,31,open_long,close_normal,1.5174,-2.3244,0.1940,3399.0000,6310.0000,3205.0000,6280.0000,2,3,10,5,19515.6000,12.0000,3430.0000,64.1860,3365.8140,17.2468,3365.8140,17.2468,0.0000,1141.7039,1280.2613,138.5575,2024-12,2025-01
69,RB0-SM0,RB0,SM0,2025-02-06,2025-03-20,42,False,2025-03-20,42,open_short,close_timeout,1.6056,3.4952,-1.3939,3360.0000,7286.0000,3173.0000,6112.0000,3,5,10,5,33954.0000,12.0000,23740.0000,106.1880,23633.8120,69.6054,23633.8120,69.6054,0.0000,1902.0848,771.9192,-1130.1656,2025-02,2025-03
70,RB0-SS0,RB0,SS0,2024-10-31,2024-12-12,42,True,2024-10-31,21,open_long,stop_loss,1.9112,-2.2582,0.0000,3424.0000,13525.0000,3431.0000,13155.0000,1,2,10,5,20338.8000,12.0000,-3770.0000,67.0700,-3837.0700,-18.8658,-3050.8200,-15.0000,786.2500,6960.3490,6960.3490,0.0000,2024-10,2024-10
