交易ID,配对,品种X,品种Y,入场日期,原始出场日期,原始持仓天数,触发止损,实际出场日期,实际持仓天数,信号类型,退出原因,Beta系数,入场Z_Score,出场Z_Score,入场价格_X,入场价格_Y,出场价格_X,出场价格_Y,手数_X,手数_Y,合约乘数_X,合约乘数_Y,保证金,保证金率%,原始毛盈亏,原始手续费,原始净盈亏,原始收益率%,止损后净盈亏,止损后收益率%,止损保护金额,入场价差,出场价差,价差变动,入场月份,出场月份
49,ZN0-SF0,ZN0,SF0,2024-09-30,2024-10-08,8,False,2024-10-08,8,open_short,close_normal,0.2622,2.3281,0.2105,25135.0,6788.0,25270.0,6638.0,4,1,5,5,64396.8,12.0,3450.0,215.046,3234.954,5.0235,3234.954,5.0235,0.0,207.751,1.4931,-206.2579,2024-09,2024-10
50,ZN0-SF0,ZN0,SF0,2024-10-25,2024-10-31,6,False,2024-10-31,6,open_short,close_normal,0.2546,2.3079,0.1514,25045.0,6578.0,25260.0,6566.0,4,1,5,5,64054.8,12.0,4360.0,214.364,4145.636,6.472,4145.636,6.472,0.0,210.9621,-10.4396,-221.4017,2024-10,2024-10
51,ZN0-SF0,ZN0,SF0,2025-01-15,2025-01-21,6,False,2025-01-21,6,open_short,close_normal,0.2696,2.2776,-0.0836,23610.0,6490.0,24185.0,6468.0,7,2,5,5,106950.0,12.0,20345.0,360.481,19984.519,18.6859,19984.519,18.6859,0.0,134.8634,-0.9892,-135.8527,2025-01,2025-01
52,ZN0-SF0,ZN0,SF0,2025-04-08,2025-04-16,8,False,2025-04-16,8,open_short,close_normal,0.261,2.5445,-0.1653,22100.0,5860.0,21905.0,5692.0,4,1,5,5,56556.0,12.0,-3060.0,187.572,-3247.572,-5.7422,-3247.572,-5.7422,0.0,102.2014,-7.464,-109.6654,2025-04,2025-04
53,ZN0-SF0,ZN0,SF0,2025-05-29,2025-06-06,8,False,2025-06-06,8,open_long,close_normal,0.2378,-3.4235,-0.1822,22480.0,5232.0,22400.0,5098.0,4,1,5,5,57091.2,12.0,930.0,189.85,740.15,1.2964,740.15,1.2964,0.0,-122.368,-14.1258,108.2422,2025-05,2025-06
54,ZN0-SF0,ZN0,SF0,2025-06-09,2025-06-11,2,False,2025-06-11,2,open_short,close_normal,0.2327,2.2919,-0.0623,21925.0,5168.0,22125.0,5190.0,4,1,5,5,55720.8,12.0,3890.0,186.558,3703.442,6.6464,3703.442,6.6464,0.0,75.9292,-7.4728,-83.402,2025-06,2025-06
55,ZN0-SF0,ZN0,SF0,2025-07-22,2025-07-30,8,False,2025-07-30,8,open_short,close_normal,0.2524,2.3913,-0.0653,22960.0,5868.0,22655.0,6014.0,4,1,5,5,58624.8,12.0,-6830.0,194.342,-7024.342,-11.9819,-7024.342,-11.9819,0.0,82.1597,2.6704,-79.4893,2025-07,2025-07
56,ZN0-SF0,ZN0,SF0,2025-07-31,2025-08-05,5,False,2025-08-05,5,open_long,close_normal,0.26,-2.5734,-0.2369,22330.0,5702.0,22395.0,5710.0,4,1,5,5,57013.2,12.0,-1260.0,190.312,-1450.312,-2.5438,-1450.312,-2.5438,0.0,-114.1691,-9.935,104.2341,2025-07,2025-08
57,HC0-SM0,HC0,SM0,2024-12-26,2025-02-17,53,False,2025-02-17,53,open_long,close_timeout,1.4768,-2.2967,-1.0064,3425.0,6116.0,3409.0,6392.0,2,3,10,5,19228.8,12.0,4460.0,64.86,4395.14,22.8571,4395.14,22.8571,0.0,1047.6483,1077.2756,29.6273,2024-12,2025-02
58,HC0-SM0,HC0,SM0,2025-07-22,2025-08-14,23,False,2025-08-14,23,open_long,close_normal,1.7341,-2.3197,-0.2048,3474.0,6018.0,3435.0,6138.0,3,5,10,5,30560.4,12.0,4170.0,102.234,4067.766,13.3106,4067.766,13.3106,0.0,-17.3235,159.572,176.8955,2025-07,2025-08
59,HC0-SS0,HC0,SS0,2024-07-31,2024-09-02,33,False,2024-09-02,33,open_short,close_normal,1.8347,2.3783,-0.0037,3482.0,14065.0,3282.0,13570.0,1,2,10,5,21056.4,12.0,2950.0,68.798,2881.202,13.6833,2881.202,13.6833,0.0,7697.0625,7472.4504,-224.6121,2024-07,2024-09
60,HC0-SS0,HC0,SS0,2024-10-23,2024-12-04,42,True,2024-10-23,10,open_long,stop_loss,1.8756,-2.2127,0.0,3473.0,13520.0,3528.0,13005.0,1,2,10,5,20391.6,12.0,-5700.0,67.052,-5767.052,-28.2815,-3058.74,-15.0,2708.312,6985.5664,6985.5664,0.0,2024-10,2024-10
61,HC0-SS0,HC0,SS0,2025-03-10,2025-03-25,15,False,2025-03-25,15,open_short,close_normal,1.974,2.5613,0.2785,3352.0,13475.0,3383.0,13370.0,1,2,10,5,20192.4,12.0,1360.0,67.16,1292.84,6.4026,1292.84,6.4026,0.0,6878.9752,6619.2149,-259.7603,2025-03,2025-03
62,HC0-SS0,HC0,SS0,2025-06-23,2025-08-04,42,False,2025-08-04,42,open_long,close_timeout,2.0717,-2.2399,-1.4453,3109.0,12405.0,3420.0,12910.0,1,2,10,5,18616.8,12.0,1940.0,63.688,1876.312,10.0786,1876.312,10.0786,0.0,5942.9079,5681.9028,-261.0052,2025-06,2025-08
63,RB0-SF0,RB0,SF0,2024-08-06,2024-08-08,2,False,2024-08-08,2,open_short,close_normal,1.9479,2.5935,-0.0484,3309.0,7014.0,3251.0,6512.0,1,2,10,5,12387.6,12.0,4440.0,40.172,4399.828,35.518,4399.828,35.518,0.0,580.2938,150.3732,-429.9206,2024-08,2024-08
64,RB0-SF0,RB0,SF0,2025-01-06,2025-01-21,15,False,2025-01-21,15,open_short,close_normal,1.8987,2.3606,0.231,3255.0,6306.0,3351.0,6468.0,1,2,10,5,11473.2,12.0,-660.0,38.76,-698.76,-6.0904,-698.76,-6.0904,0.0,137.3028,10.7642,-126.5386,2025-01,2025-01
65,RB0-SF0,RB0,SF0,2025-05-29,2025-06-17,19,False,2025-06-17,19,open_long,close_normal,1.8249,-2.5727,0.2723,2975.0,5232.0,2984.0,5258.0,3,5,10,5,26406.0,12.0,380.0,88.204,291.796,1.105,291.796,1.105,0.0,-208.6419,-34.8301,173.8118,2025-05,2025-06
66,RB0-SF0,RB0,SF0,2025-07-25,2025-07-31,6,False,2025-07-31,6,open_short,close_normal,1.7707,3.0536,0.2249,3359.0,6160.0,3202.0,5702.0,3,5,10,5,30572.4,12.0,6740.0,98.676,6641.324,21.7233,6641.324,21.7233,0.0,223.4129,-12.2267,-235.6395,2025-07,2025-07
67,RB0-SF0,RB0,SF0,2025-08-07,2025-08-19,12,False,2025-08-19,12,open_short,close_normal,1.7906,2.6264,0.0137,3234.0,6018.0,3123.0,5684.0,3,5,10,5,29696.4,12.0,5020.0,96.652,4923.348,16.5789,4923.348,16.5789,0.0,238.7117,-8.2965,-247.0082,2025-08,2025-08
68,RB0-SM0,RB0,SM0,2024-12-10,2025-01-10,31,False,2025-01-10,31,open_long,close_normal,1.5174,-2.3244,0.194,3399.0,6310.0,3205.0,6280.0,2,3,10,5,19515.6,12.0,3430.0,64.186,3365.814,17.2468,3365.814,17.2468,0.0,1141.7039,1280.2613,138.5575,2024-12,2025-01
69,RB0-SM0,RB0,SM0,2025-02-06,2025-03-20,42,False,2025-03-20,42,open_short,close_timeout,1.6056,3.4952,-1.3939,3360.0,7286.0,3173.0,6112.0,3,5,10,5,33954.0,12.0,23740.0,106.188,23633.812,69.6054,23633.812,69.6054,0.0,1902.0848,771.9192,-1130.1656,2025-02,2025-03
70,RB0-SS0,RB0,SS0,2024-10-31,2024-12-12,42,True,2024-10-31,10,open_long,stop_loss,1.9112,-2.2582,0.0,3424.0,13525.0,3431.0,13155.0,1,2,10,5,20338.8,12.0,-3770.0,67.07,-3837.07,-18.8658,-3050.82,-15.0,786.25,6960.349,6960.349,0.0,2024-10,2024-10
71,RB0-SS0,RB0,SS0,2025-03-10,2025-04-22,43,False,2025-04-22,43,open_short,close_timeout,1.9996,2.9263,-1.3022,3223.0,13475.0,3072.0,12705.0,1,2,10,5,20037.6,12.0,6190.0,64.95,6125.05,30.5678,6125.05,30.5678,0.0,7051.3795,6422.3678,-629.0117,2025-03,2025-04
72,RB0-SS0,RB0,SS0,2025-07-11,2025-08-11,31,False,2025-08-11,31,open_long,close_normal,2.1124,-2.2526,-0.0382,3130.0,12725.0,3253.0,13210.0,1,2,10,5,19026.0,12.0,3620.0,64.636,3555.364,18.6869,3555.364,18.6869,0.0,6091.8124,6250.0271,158.2147,2025-07,2025-08
73,SF0-SM0,SF0,SM0,2024-07-29,2024-09-02,35,False,2024-09-02,35,open_long,close_normal,1.0629,-2.4519,-0.2316,6796.0,6958.0,6238.0,6282.0,1,1,5,5,8252.4,12.0,-590.0,26.274,-616.274,-7.4678,-616.274,-7.4678,0.0,-278.1441,-138.4141,139.73,2024-07,2024-09
